"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"S100g",853,0,-1.47105597878359,0.169,0.811,0,"CKD","S100G"
"S100g",1,0,1.47105597878359,0.811,0.169,0,"Health","S100G"
"Ftl1",851,0,-0.936494186070319,0.481,0.972,0,"CKD","FTL"
"Ftl1",3,0,0.936494186070319,0.972,0.481,0,"Health","FTL"
"Klk1",4,0,0.79402895644272,0.324,0.033,0,"Health","KLK2"
"Klk1",850,0,-0.79402895644272,0.033,0.324,0,"CKD","KLK2"
"Mt1",849,0,-0.789039510737743,0.151,0.497,0,"CKD","MT1G"
"Mt1",5,0,0.789039510737743,0.497,0.151,0,"Health","MT1G"
"Calb1",8,0,0.705974492963549,0.271,0.02,0,"Health","CALB1"
"Calb1",846,0,-0.705974492963549,0.02,0.271,0,"CKD","CALB1"
"Dnase1",9,0,0.688986386331033,0.442,0.154,0,"Health","DNASE1"
"Dnase1",845,0,-0.688986386331033,0.154,0.442,0,"CKD","DNASE1"
"Tmem52b",844,0,-0.661526528601239,0.038,0.278,0,"CKD","TMEM52B"
"Tmem52b",10,0,0.661526528601239,0.278,0.038,0,"Health","TMEM52B"
"Egf",11,0,0.659100792693448,0.234,0.026,0,"Health","EGF"
"Egf",843,0,-0.659100792693448,0.026,0.234,0,"CKD","EGF"
"Spp1",12,0,0.647541080415068,0.496,0.203,0,"Health","SPP1"
"Spp1",842,0,-0.647541080415068,0.203,0.496,0,"CKD","SPP1"
"Tmem213",841,0,-0.645040598382861,0.042,0.286,0,"CKD","TMEM213"
"Tmem213",13,0,0.645040598382861,0.286,0.042,0,"Health","TMEM213"
"Slc12a3",14,0,0.6261592060722,0.217,0.032,0,"Health","SLC12A3"
"Slc12a3",840,0,-0.6261592060722,0.032,0.217,0,"CKD","SLC12A3"
"Gatm",839,0,-0.580222824857685,0.255,0.506,0,"CKD","GATM"
"Gatm",15,0,0.580222824857685,0.506,0.255,0,"Health","GATM"
"Ppp1r1a",838,0,-0.563531359193916,0.035,0.235,0,"CKD","PPP1R1A"
"Ppp1r1a",16,0,0.563531359193916,0.235,0.035,0,"Health","PPP1R1A"
"Umod",837,0,-0.539343298293578,0.06,0.232,0,"CKD","UMOD"
"Umod",17,0,0.539343298293578,0.232,0.06,0,"Health","UMOD"
"Atp1a1",18,0,0.492934307645089,0.738,0.571,0,"Health","ATP1A1"
"Atp1a1",836,0,-0.492934307645089,0.571,0.738,0,"CKD","ATP1A1"
"Ldhb",835,0,-0.486701686252071,0.437,0.66,0,"CKD","LDHB"
"Ldhb",19,0,0.486701686252071,0.66,0.437,0,"Health","LDHB"
"Txnip",834,0,-0.464215495155333,0.131,0.335,0,"CKD","TXNIP"
"Txnip",20,0,0.464215495155333,0.335,0.131,0,"Health","TXNIP"
"Wnk1",833,0,-0.464092753179632,0.209,0.348,0,"CKD","WNK1"
"Wnk1",21,0,0.464092753179632,0.348,0.209,0,"Health","WNK1"
"Gabarapl1",22,0,0.449863588019563,0.582,0.39,0,"Health","GABARAPL1"
"Gabarapl1",832,0,-0.449863588019563,0.39,0.582,0,"CKD","GABARAPL1"
"Spp2",23,0,0.448469935963813,0.268,0.084,0,"Health","SPP2"
"Spp2",831,0,-0.448469935963813,0.084,0.268,0,"CKD","SPP2"
"Fabp3",24,0,0.447516666172842,0.272,0.08,0,"Health","FABP3"
"Fabp3",830,0,-0.447516666172842,0.08,0.272,0,"CKD","FABP3"
"Kng2",829,0,-0.429439111053916,0.034,0.191,0,"CKD","KNG1"
"Kng2",25,0,0.429439111053916,0.191,0.034,0,"Health","KNG1"
"Atp6v1g3",828,0,-0.420023727027741,0.018,0.154,0,"CKD","ATP6V1G3"
"Atp6v1g3",26,0,0.420023727027741,0.154,0.018,0,"Health","ATP6V1G3"
"Slc6a19",827,0,-0.412612836524585,0.1,0.268,0,"CKD","SLC6A19"
"Slc6a19",27,0,0.412612836524585,0.268,0.1,0,"Health","SLC6A19"
"Mal",826,0,-0.405275573087721,0.035,0.199,0,"CKD","MAL"
"Mal",28,0,0.405275573087721,0.199,0.035,0,"Health","MAL"
"Atp5b",825,0,-0.402892754562411,0.667,0.804,0,"CKD","ATP5F1B"
"Atp5b",29,0,0.402892754562411,0.804,0.667,0,"Health","ATP5F1B"
"Inmt",824,0,-0.395771640155706,0.221,0.379,0,"CKD","INMT"
"Inmt",30,0,0.395771640155706,0.379,0.221,0,"Health","INMT"
"Idh2",823,0,-0.388087155169716,0.202,0.373,0,"CKD","IDH2"
"Idh2",31,0,0.388087155169716,0.373,0.202,0,"Health","IDH2"
"Mdh1",822,0,-0.3864178560756,0.472,0.634,0,"CKD","MDH1"
"Mdh1",32,0,0.3864178560756,0.634,0.472,0,"Health","MDH1"
